,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
img_lbp_5,26.0,0.014365190186651583,0.0026685165493616843,0.010098805147058824,0.01283892463235294,0.013783892463235293,0.01586339613970588,0.019916130514705883,0.6355880185599301,-0.2556796835046007
img_lbp_6,26.0,0.013370068580316743,0.0027617512555798735,0.008984375,0.011580882352941177,0.01271829044117647,0.015029009650735293,0.01911764705882353,0.42449777183070514,-0.6642313608171047
img_lbp_7,26.0,0.017990844174208143,0.003625852750508791,0.012339154411764705,0.014565142463235294,0.01889361213235294,0.020384306066176472,0.023862591911764704,0.052269089652597814,-1.2288870843143536
img_lbp_8,26.0,0.02353051647341629,0.00452854270531095,0.016239659926470588,0.019367532169117647,0.024787454044117647,0.027350930606617647,0.029940257352941178,-0.1539163216029493,-1.4041691418689097
img_lbp_9,26.0,0.029947548430429863,0.006456149010811191,0.01981847426470588,0.023818072150735295,0.031235638786764705,0.035054285386029414,0.03859719669117647,-0.18546011026911863,-1.4211154046753778
img_lbp_10,26.0,0.03661844244909502,0.008899378158442526,0.02143267463235294,0.02792681525735294,0.037316176470588235,0.04362362132352941,0.04994829963235294,-0.10343947064667874,-1.324373431813954
img_lbp_11,26.0,0.04822583781108598,0.012177389854633227,0.027464384191176472,0.038334386488970584,0.048440372242647065,0.05648408777573529,0.076171875,0.2198208240000985,-0.5399284343333846
img_lbp_12,26.0,0.047999593467194575,0.013933679472027925,0.02532169117647059,0.03767233455882353,0.04856100643382353,0.056597541360294115,0.0872414981617647,0.6036230737076322,0.6111293932553679
img_lbp_13,26.0,0.05672148967760181,0.013565242660210067,0.03334099264705882,0.04533404181985294,0.05564108455882353,0.06574132582720588,0.09210133272058824,0.47876451702338946,0.042694370420751415
img_lbp_14,26.0,0.046656930500565616,0.008864316650498544,0.02949793198529412,0.04100413602941177,0.04771369485294118,0.0526510799632353,0.06671645220588235,0.0417038989607655,-0.46517674457894875
img_lbp_15,26.0,0.04061152255373303,0.0054881036195850675,0.030135569852941177,0.03715389476102941,0.04071691176470588,0.044921875,0.05022977941176471,-0.17928304909935647,-0.7419781835194397
img_lbp_16,26.0,0.03196938631221719,0.003203481561740661,0.02580997242647059,0.030029296875,0.03213465073529412,0.03413947610294118,0.039326746323529414,-0.07085283995398693,-0.029655318422642463
img_lbp_17,26.0,0.032150779482466064,0.0030476139905018015,0.026505055147058823,0.029984777113970587,0.03204561121323529,0.03430750229779412,0.03962545955882353,0.14532876687556795,-0.025247357550533867
img_lbp_18,26.0,0.02256743141968326,0.002293071451181354,0.01804342830882353,0.02056094898897059,0.022742417279411765,0.02456198299632353,0.02566061580882353,-0.2704092249047009,-1.069816915338402
img_lbp_19,26.0,0.02311580882352941,0.002863587603086778,0.017767693014705883,0.021248851102941176,0.023049747242647058,0.025504078584558824,0.028550091911764705,-0.0822511690255163,-0.7690620697531223
img_lbp_20,26.0,0.02484710831447964,0.0037382999134125856,0.01758386948529412,0.022337431066176472,0.024233111213235292,0.02701775045955882,0.03171530330882353,0.17804981605288617,-0.7878126737576232
img_lbp_21,26.0,0.022200005302601807,0.003289414138525406,0.016176470588235296,0.01989458869485294,0.021857766544117647,0.02368451286764706,0.029693244485294118,0.4624103369461976,-0.3718050095762071
img_lbp_22,26.0,0.018692555147058823,0.003311242110989309,0.012557444852941177,0.016220990349264705,0.01807215073529412,0.020888384650735295,0.02610294117647059,0.42504527980384965,-0.42895387200469237
img_lbp_23,26.0,0.010766712033371043,0.0018669683665507465,0.006996783088235294,0.009400850183823528,0.010604319852941177,0.011781939338235294,0.01440716911764706,0.28309502598937636,-0.46397879015638743
img_lbp_24,26.0,0.09019239606900453,0.015420241219469855,0.06725068933823529,0.07914608226102941,0.08829848345588236,0.1004107306985294,0.12646484375,0.48664223442767185,-0.42270794016106006
img_lbp_25,26.0,0.26568885216346155,0.03704980818304325,0.1996438419117647,0.2393023322610294,0.2655560661764706,0.2956284466911765,0.33714958639705883,0.25860536939450524,-0.8539222980746355
img_glcm_contrast_mean,26.0,9.499320414392757,4.91985036813165,3.404600125869012,6.299986942346505,7.775535447990853,11.481177811663859,26.402984034381547,1.60823492679072,3.3525505866371486
img_glcm_contrast_std,26.0,7.992222744758608,4.516851108721128,2.6013111301934133,5.056542791201669,6.623224198758855,9.78140609535438,24.160475062099447,1.7977729588063356,4.297910584529273
img_glcm_dissimilarity_mean,26.0,1.7952554617704548,0.41171265530598516,1.1453319874858776,1.5245491404959832,1.725095804570686,2.03036568960196,2.823444905189102,0.5891276544316496,-0.1849275296705719
img_glcm_dissimilarity_std,26.0,0.8138534274080604,0.2244787839087488,0.4754211465462893,0.6539893447199829,0.7683920235259272,0.9354130713444887,1.40317742523258,0.6462663885044415,0.02983644128259133
img_glcm_homogeneity_mean,26.0,0.50242452416857,0.04991132727066019,0.4132406492362736,0.4696308765074182,0.4927772104943946,0.5443053623117451,0.592961618002584,0.09867252254439908,-0.9255307889142794
