imagen,lombrices_agregadas_g,replica,modelo,validacion,prediccion,error,error_abs
T20G-4.jpg,20,4,SVR_RBF,LOO,24.544986643324766,-4.544986643324766,4.544986643324766
T20G-5.jpg,20,5,SVR_RBF,LOO,28.58920257951275,-8.589202579512751,8.589202579512751
T30G-1.jpg,30,1,SVR_RBF,LOO,28.08545802736657,1.9145419726334296,1.9145419726334296
T30G-2.jpg,30,2,SVR_RBF,LOO,27.7763566237182,2.2236433762817995,2.2236433762817995
T30G-3.jpg,30,3,SVR_RBF,LOO,29.864716017724437,0.13528398227556337,0.13528398227556337
T30G-4.jpg,30,4,SVR_RBF,LOO,22.51190901683099,7.488090983169009,7.488090983169009
T30G-5.jpg,30,5,SVR_RBF,LOO,33.9740677503926,-3.9740677503925994,3.9740677503925994
T40G-1.jpg,40,1,SVR_RBF,LOO,34.95055955336355,5.049440446636453,5.049440446636453
T40G-2.jpg,40,2,SVR_RBF,LOO,39.89017239671932,0.10982760328067798,0.10982760328067798
T40G-3.jpg,40,3,SVR_RBF,LOO,39.890583069062195,0.10941693093780458,0.10941693093780458
T40G-4.jpg,40,4,SVR_RBF,LOO,41.647660917399264,-1.6476609173992642,1.6476609173992642
T40G-5.jpg,40,5,SVR_RBF,LOO,33.96576497931029,6.034235020689707,6.034235020689707
T50G-1.jpg,50,1,SVR_RBF,LOO,35.86170699001462,14.138293009985382,14.138293009985382
T50G-2.jpg,50,2,SVR_RBF,LOO,36.09898786948096,13.901012130519042,13.901012130519042
T50G-3.jpg,50,3,SVR_RBF,LOO,40.08065956712754,9.91934043287246,9.91934043287246
T50G-4.jpg,50,4,SVR_RBF,LOO,33.20682752343395,16.79317247656605,16.79317247656605
T50G-5.jpg,50,5,SVR_RBF,LOO,30.02097355772624,19.97902644227376,19.97902644227376
T0G-1.jpg,0,1,RandomForest,LOO,14.148333333333333,-14.148333333333333,14.148333333333333
T10G-1.jpg,10,1,RandomForest,LOO,10.507202380952384,-0.5072023809523838,0.5072023809523838
T10G-2.jpg,10,2,RandomForest,LOO,10.674285714285716,-0.6742857142857162,0.6742857142857162
T10G-3.jpg,10,3,RandomForest,LOO,12.193363095238102,-2.1933630952381016,2.1933630952381016
T10G-4.jpg,10,4,RandomForest,LOO,12.233928571428576,-2.233928571428576,2.233928571428576
T10G-5.jpg,10,5,RandomForest,LOO,15.656250000000002,-5.656250000000002,5.656250000000002
T20G-1.jpg,20,1,RandomForest,LOO,15.98,4.02,4.02
T20G-2.jpg,20,2,RandomForest,LOO,16.66967261904762,3.3303273809523795,3.3303273809523795
T20G-3.jpg,20,3,RandomForest,LOO,19.939910714285713,0.0600892857142874,0.0600892857142874
T20G-4.jpg,20,4,RandomForest,LOO,15.851041666666665,4.148958333333335,4.148958333333335
T20G-5.jpg,20,5,RandomForest,LOO,25.65604166666667,-5.65604166666667,5.65604166666667
T30G-1.jpg,30,1,RandomForest,LOO,25.52619047619048,4.473809523809521,4.473809523809521
T30G-2.jpg,30,2,RandomForest,LOO,28.668333333333337,1.3316666666666634,1.3316666666666634
T30G-3.jpg,30,3,RandomForest,LOO,31.78125,-1.78125,1.78125
T30G-4.jpg,30,4,RandomForest,LOO,31.590892857142855,-1.5908928571428547,1.5908928571428547
T30G-5.jpg,30,5,RandomForest,LOO,34.18583333333333,-4.185833333333328,4.185833333333328
T40G-1.jpg,40,1,RandomForest,LOO,40.60511904761905,-0.6051190476190484,0.6051190476190484
T40G-2.jpg,40,2,RandomForest,LOO,38.876666666666665,1.1233333333333348,1.1233333333333348
