imagen,gramos,iteracion,modelo,validacion,predicho,error,error_abs
T40G-4.jpg,40.0,4,SVR_RBF,LOO,31.58161480650283,8.41838519349717,8.41838519349717
T40G-5.jpg,40.0,5,SVR_RBF,LOO,24.574514592102737,15.425485407897263,15.425485407897263
T50G-1.jpg,50.0,1,SVR_RBF,LOO,28.708833915650267,21.291166084349733,21.291166084349733
T50G-2.jpg,50.0,2,SVR_RBF,LOO,25.611445954416936,24.388554045583064,24.388554045583064
T50G-3.jpg,50.0,3,SVR_RBF,LOO,30.583166437238624,19.416833562761376,19.416833562761376
T50G-4.jpg,50.0,4,SVR_RBF,LOO,26.755255886661224,23.244744113338776,23.244744113338776
T50G-5.jpg,50.0,5,SVR_RBF,LOO,26.73607653427651,23.26392346572349,23.26392346572349
T0G-1.jpg,0.0,1,RandomForest,LOO,39.5623094035594,-39.5623094035594,39.5623094035594
T10G-1.jpg,10.0,1,RandomForest,LOO,32.02805657305659,-22.02805657305659,22.02805657305659
T10G-2.jpg,10.0,2,RandomForest,LOO,31.946732711732725,-21.946732711732725,21.946732711732725
T10G-3.jpg,10.0,3,RandomForest,LOO,28.683308867058866,-18.683308867058866,18.683308867058866
T10G-4.jpg,10.0,4,RandomForest,LOO,31.628768500018506,-21.628768500018506,21.628768500018506
T10G-5.jpg,10.0,5,RandomForest,LOO,37.00338032065973,-27.00338032065973,27.00338032065973
T20G-1.jpg,20.0,1,RandomForest,LOO,23.99561355311356,-3.995613553113561,3.995613553113561
T20G-2.jpg,20.0,2,RandomForest,LOO,34.50241156991157,-14.502411569911573,14.502411569911573
T20G-3.jpg,20.0,3,RandomForest,LOO,33.89640553890553,-13.896405538905533,13.896405538905533
T20G-4.jpg,20.0,4,RandomForest,LOO,20.836486383986383,-0.836486383986383,0.836486383986383
T20G-5.jpg,20.0,5,RandomForest,LOO,22.315604210604203,-2.315604210604203,2.315604210604203
T30G-1.jpg,30.0,1,RandomForest,LOO,20.396457153957154,9.603542846042846,9.603542846042846
T30G-2.jpg,30.0,2,RandomForest,LOO,19.12552068302068,10.874479316979318,10.874479316979318
T30G-3.jpg,30.0,3,RandomForest,LOO,35.635426147926154,-5.635426147926154,5.635426147926154
T30G-4.jpg,30.0,4,RandomForest,LOO,37.80230491730492,-7.802304917304923,7.802304917304923
T30G-5.jpg,30.0,5,RandomForest,LOO,33.073211788211786,-3.073211788211786,3.073211788211786
T40G-1.jpg,40.0,1,RandomForest,LOO,24.647109834609825,15.352890165390175,15.352890165390175
T40G-2.jpg,40.0,2,RandomForest,LOO,32.8185742960743,7.181425703925697,7.181425703925697
T40G-3.jpg,40.0,3,RandomForest,LOO,27.707224072224058,12.292775927775942,12.292775927775942
T40G-4.jpg,40.0,4,RandomForest,LOO,30.332375402375394,9.667624597624606,9.667624597624606
T40G-5.jpg,40.0,5,RandomForest,LOO,20.535293872793876,19.464706127206124,19.464706127206124
T50G-1.jpg,50.0,1,RandomForest,LOO,28.629770044770048,21.370229955229952,21.370229955229952
T50G-2.jpg,50.0,2,RandomForest,LOO,29.225369445369445,20.774630554630555,20.774630554630555
T50G-3.jpg,50.0,3,RandomForest,LOO,29.793898323898315,20.206101676101685,20.206101676101685
T50G-4.jpg,50.0,4,RandomForest,LOO,26.762791582056295,23.237208417943705,23.237208417943705
T50G-5.jpg,50.0,5,RandomForest,LOO,30.23481474407946,19.76518525592054,19.76518525592054
T0G-1.jpg,0.0,1,GradientBoosting,LOO,38.37300240823656,-38.37300240823656,38.37300240823656
T10G-1.jpg,10.0,1,GradientBoosting,LOO,23.686402476915948,-13.686402476915948,13.686402476915948
T10G-2.jpg,10.0,2,GradientBoosting,LOO,35.21634354302609,-25.216343543026092,25.216343543026092
T10G-3.jpg,10.0,3,GradientBoosting,LOO,26.821789935805988,-16.821789935805988,16.821789935805988
T10G-4.jpg,10.0,4,GradientBoosting,LOO,24.98122205445193,-14.98122205445193,14.98122205445193
T10G-5.jpg,10.0,5,GradientBoosting,LOO,36.257986821126394,-26.257986821126394,26.257986821126394
T20G-1.jpg,20.0,1,GradientBoosting,LOO,26.310485503453187,-6.310485503453187,6.310485503453187
T20G-2.jpg,20.0,2,GradientBoosting,LOO,27.793036554928833,-7.7930365549288325,7.7930365549288325
T20G-3.jpg,20.0,3,GradientBoosting,LOO,29.28481158707153,-9.28481158707153,9.28481158707153
T20G-4.jpg,20.0,4,GradientBoosting,LOO,19.327321842735845,0.6726781572641549,0.6726781572641549
T20G-5.jpg,20.0,5,GradientBoosting,LOO,25.030659255548322,-5.030659255548322,5.030659255548322
T30G-1.jpg,30.0,1,GradientBoosting,LOO,16.41234495578441,13.587655044215591,13.587655044215591
T30G-2.jpg,30.0,2,GradientBoosting,LOO,17.13829918032693,12.861700819673072,12.861700819673072
T30G-3.jpg,30.0,3,GradientBoosting,LOO,35.97112146741608,-5.971121467416083,5.971121467416083
T30G-4.jpg,30.0,4,GradientBoosting,LOO,46.53098450642602,-16.530984506426023,16.530984506426023
T30G-5.jpg,30.0,5,GradientBoosting,LOO,28.01379147748804,1.9862085225119586,1.9862085225119586
T40G-1.jpg,40.0,1,GradientBoosting,LOO,26.656468449349997,13.343531550650003,13.343531550650003
T40G-2.jpg,40.0,2,GradientBoosting,LOO,25.106938106826178,14.893061893173822,14.893061893173822
