feature,importance_mean,importance_std
cold_lbp_35_1,0.0009230769230769154,0.0014513817126241611
cold_lbp_30_9,0.0008974358974360053,0.0050795771358476795
img_pix_percentile_density_70,0.0007948717948718394,0.0020398721131485087
cold_lbp_35_21,0.0007948717948717728,0.003105529415736561
img_pix_percentile_count_95,0.0007948717948717506,0.0033263239913154186
cold_lbp_30_16,0.00074358974358959,0.0021710242934102238
img_gray_p25,0.0006410256410253649,0.000994726396988268
img_gray_min,0.0005384615384614728,0.001126163654153745
img_lbp_9,0.000512820512820363,0.0009593993299420644
cold_mean_40,0.00048717948717932706,0.0015318232852557958
cold_lbp_40_8,0.0004615384615388685,0.010861509406512959
cold_lbp_25_17,0.0004102564102565228,0.0033396390061876647
img_gray_p10,0.00038461538461547206,0.001892057519422939
img_glcm_contrast_std,0.00038461538461533886,0.001372453711904861
cold_lbp_25_18,0.000333333333333045,0.0024380557240036168
img_pix_count_130,0.00030769230769234955,0.001326412016038755
img_glcm_homogeneity_mean,0.00030769230769223853,0.001467598771410627
img_gray_median,0.00023076923076909377,0.002007382823184612
cold_lbp_25_16,0.00023076923076909377,0.002149721324997205
img_glcm_correlation_mean,0.00020512820512815408,0.0024319806566931745
img_lbp_12,0.00017948717948711076,0.001849178434061871
img_lbp_8,5.128205128204962e-05,0.0009917476720929846
cold_lbp_30_2,5.12820512819682e-05,0.0027372320297605873
cold_lbp_25_14,5.128205128184978e-05,0.0006567306910187741
img_pix_density_50,0.0,0.0
img_pix_count_50,0.0,0.0
cold_lbp_30_19,0.0,0.0
cold_lbp_25_24,0.0,0.0
img_pix_count_150,0.0,0.0
img_pix_density_150,0.0,0.0
img_pix_density_80,0.0,0.0
img_gray_mean,0.0,0.0
cold_mean_35,-1.4802973661668754e-17,0.0012243421934681746
cold_std_40,-8.141635513917814e-17,0.0013760418323076507
cold_median_40,-1.7763568394002506e-16,0.0011581117733986026
img_gray_range,-5.12820512819682e-05,0.0024881045068119974
img_pix_percentile_density_85,-7.692307692307073e-05,0.0010386989282322688
img_glcm_contrast_mean,-0.00010256410256429908,0.002262230256421802
cold_area_pct_35,-0.00012820512820506115,0.006697414300825094
img_glcm_correlation_std,-0.00020512820512824287,0.0015630513491413636
cold_lbp_40_25,-0.0002307692307692196,0.00121057144965259
cold_lbp_30_7,-0.00025641025640997425,0.005076664070057235
cold_mean_25,-0.00025641025641014447,0.0009386156521909276
img_glcm_ASM_mean,-0.000256410256410596,0.0018454414579945149
cold_lbp_35_23,-0.0002820512820512026,0.0018576918653005583
cold_lbp_30_14,-0.0003589743589742289,0.0017169916966957755
img_lbp_2,-0.00043589743589744024,0.0027354299939512405
img_glcm_energy_std,-0.0004615384615384984,0.0011340176608973175
cold_median_25,-0.00048717948717941586,0.0023456984285465114
cold_lbp_30_10,-0.0005128205128206812,0.0013224407136643909
cold_lbp_30_20,-0.0005384615384615395,0.002257138577095613
cold_lbp_25_21,-0.0005641025641025014,0.0008173014077184539
cold_mean_30,-0.0005897435897437075,0.0026771244643767813
img_gray_p90,-0.0005897435897438259,0.0013276506118973924
img_lbp_7,-0.0006410256410257128,0.0035311146321937844
cold_lbp_35_20,-0.0006666666666668745,0.0021366837595896797
cold_median_35,-0.0006923076923076957,0.0013521842947114044
cold_area_pct_25,-0.000743589743589627,0.002303272120030299
img_lbp_10,-0.000743589743589738,0.0013971418180334595
cold_std_25,-0.0008461538461536522,0.0015683003777819371
cold_median_30,-0.0008461538461538816,0.0007781533797688815
cold_lbp_30_22,-0.0010000000000001193,0.0007981734572447904
cold_lbp_30_18,-0.001051282051282154,0.0021981104789895733
img_lbp_13,-0.0012307692307692278,0.0010243581720737363
img_lbp_14,-0.001333333333333416,0.0014313113576361668
img_lbp_0,-0.0013589743589743112,0.0012029440108451376
cold_lbp_35_10,-0.0014358974358973746,0.0017511149824579087
