feature,rf_importance,mutual_information,permutation_importance,rank_rf,rank_mi,rank_perm,rank_promedio
img_lbp_2,0.00023158944795253074,0.01838775001369286,-0.00043589743589744024,143.0,122.0,170.0,145.0
img_lbp_8,4.5829398803903066e-05,0.0701133174855697,5.128205128204962e-05,198.0,92.0,145.0,145.0
cold_lbp_35_10,0.00018736703355305944,0.07499639499190369,-0.0014358974358973746,159.0,88.0,190.0,145.66666666666666
img_gray_mean,0.0,0.08940650858305954,0.0,207.5,79.0,151.5,146.0
cold_std_30,0.0007109468752635701,0.0,-0.0016923076923075783,71.0,175.0,194.0,146.66666666666666
img_gray_range,0.00011864100042845032,0.05563377992910845,-5.12820512819682e-05,178.0,103.0,159.0,146.66666666666666
cold_lbp_30_16,0.00025013394284007813,0.0,0.00074358974358959,137.0,175.0,129.0,147.0
cold_median_30,3.1137724550898205e-05,0.1277961794953546,-0.0008461538461538816,202.0,56.0,184.0,147.33333333333334
cold_std_35,0.0011024324344167196,0.0,-0.00899999999999992,58.0,175.0,210.0,147.66666666666666
cold_lbp_35_16,0.0007976762682610668,0.0,-0.0024615384615384113,68.0,175.0,200.0,147.66666666666666
img_pix_density_180,7.806244995996798e-05,0.0026700769654062206,0.0010769230769228865,188.0,134.5,121.0,147.83333333333334
img_lbp_13,5.388601036269431e-05,0.10764998350669597,-0.0012307692307692278,197.0,63.0,187.0,149.0
img_glcm_dissimilarity_mean,0.00020324891357626233,0.0,0.0012564102564103083,154.0,175.0,118.0,149.0
cold_median_35,9.663833744215216e-05,0.08283280953198457,-0.0006923076923076957,182.0,85.0,180.0,149.0
img_lbp_25,0.000249556342796617,0.03703400363702514,-0.0023076923076921366,138.0,111.0,199.0,149.33333333333334
img_lbp_22,0.00028304572506051586,0.015084265341132497,-0.0017179487179486955,130.0,123.0,196.0,149.66666666666666
cold_lbp_35_0,0.0001287589944406318,0.0,0.0024358974358976346,174.0,175.0,100.0,149.66666666666666
img_glcm_dissimilarity_std,0.00018319685240867538,0.0,0.0014102564102565162,161.0,175.0,114.0,150.0
img_lbp_10,0.00019638919028595674,0.0337459298455578,-0.000743589743589738,156.0,112.0,182.0,150.0
img_pix_count_130,0.00012310834245249488,0.0006382481111324445,0.00030769230769234955,176.0,137.5,139.0,150.83333333333334
cold_lbp_25_24,0.0,0.06419818957413259,0.0,207.5,96.0,151.5,151.66666666666666
img_lbp_21,9.946341981278384e-05,0.09310293470595576,-0.0019743589743589957,181.0,77.0,198.0,152.0
cold_lbp_35_18,0.00014794338891822083,0.0,0.0015128205128206451,170.0,175.0,112.0,152.33333333333334
cold_lbp_40_25,7.750188449927905e-05,0.0526958856721631,-0.0002307692307692196,189.0,105.0,164.0,152.66666666666666
cold_lbp_30_21,0.0001763200199778364,0.0,0.00110256410256393,163.0,175.0,120.0,152.66666666666666
cold_lbp_35_1,0.0001845797715403977,0.0,0.0009230769230769154,160.0,175.0,124.0,153.0
img_glcm_correlation_std,7.709901921366746e-05,0.04255075078868531,-0.00020512820512824287,190.0,109.0,163.0,154.0
cold_median_40,4.1733547351524905e-05,0.051025300801399665,-1.7763568394002506e-16,200.0,106.0,158.0,154.66666666666666
img_glcm_homogeneity_mean,0.0002064184380649577,0.0,0.00030769230769223853,150.0,175.0,140.0,155.0
cold_area_pct_25,0.0003474423240728507,0.0,-0.000743589743589627,114.0,175.0,181.0,156.66666666666666
